title,max size,# of students,male,9th grade,10th grade,11th grade,12th grade,1st choice,2nd choice,3rd choice,4th choice,5th choice,bad
"J038-1, Altruistic Fashion; Ms. Martinez and Ms. Ellis",22,10,1,5,5,0,0,2,5,3,0,0,0,
"J104-1, Animal Science; Dr. Kaufman and Dr. Small",22,20,5,6,14,0,0,9,6,5,0,0,0,
"J055-1, Art & Science of Violin Making; Mr. Boomer",22,0,0,0,0,0,0,0,0,0,0,0,0,
"J107-1, Atlanta Icons; Dr. Vigil and Mr. Breite",22,22,13,10,12,0,0,9,7,5,1,0,0,
"J008-1, Atlantic Coastal Ecology & Culture; Dr. Wilson and Mr. Vuckovic; (Overnight travel: January 8-11)",22,13,7,8,5,0,0,5,5,3,0,0,0,
"J032-1, Broadcast Journalism; Ms. Klepper and Mr. Morgan",22,6,4,4,2,0,0,3,0,2,1,0,0,
"J066-1, Flight, Fight, or Freeze: The Psychology of Fear; Dr. Ursin and Dr. Chan",22,16,3,11,5,0,0,5,6,5,0,0,0,
"J051-1, French Cooking & Culture; Dr. Hanson and Mr. Oliver",22,22,11,6,6,5,5,8,9,4,0,1,0,
"J108-1, Game Design; Mr. Kaplan and Ms. Kwok",22,20,15,3,4,5,8,11,6,1,2,0,0,
"J109-1, Happiness; Ms. Moore, Ms. Trask, and Ms. Davis",22,22,7,7,7,2,6,14,8,0,0,0,0,
"J039-1, History & Physics of Flight; Mr. Watkins and Mr. Souza; (Overnight travel: January 10-11)",22,21,14,18,3,0,0,10,7,3,1,0,0,
"J034-1, A History of Computer Hardware; Mr. Hare and Mr. Labouchere",22,4,4,3,1,0,0,1,3,0,0,0,0,
"J110-1, History of Sports Through Film; Ms. Good and Mr. Berry",22,22,14,5,4,6,7,1,13,8,0,0,0,
"J106-1, Imagined Cities; Mr. Causevic, Ms. Johnson, and Mr. Carvajal",22,10,8,5,5,0,0,5,1,3,1,0,0,
"J111-1, Law & Order; Mr. Oliver and Ms. Boozer",22,16,5,13,0,1,2,2,8,4,2,0,0,
"J086-1, The Literature and Ecology of Fly-fishing; Mr. Justice",22,22,12,13,9,0,0,13,3,3,3,0,0,
"J074-1, Music, Society, and Culture; Mr. Gough and Dr. Walters",22,5,2,2,3,0,0,1,2,0,1,0,1,
"J112-1, Musical Theatre History; Ms. Morgens, Mr. Maynard, and Ms. Wilson; (Requirement: One evening commitment)",22,9,3,3,3,2,1,3,2,3,0,0,1,
"J070-1, Physics of Sports; Mr. Malmberg, Mr. Romberg, and Mr. Joel",22,22,16,12,10,0,0,5,11,5,1,0,0,
"J088-1, Science & Design of Cars & Racing; Mr. Wellford and Mr. Adkins",22,14,14,7,7,0,0,8,4,2,0,0,0,
"J113-1, Science and Psychology Behind Crime Scene Investigation; Ms. Cox and Ms. Justice",22,22,8,7,5,6,4,10,9,3,0,0,0,
"J005-1, Sports Medicine; Ms. Hays and Ms. White",22,22,10,9,13,0,0,14,7,1,0,0,0,
